word                				occurance
clue                				40
clueless            				40
clues               				10
clump               				60
clumsily            				20
clunk               				10
clunker             				10
cluster             				10
clutch              				60
clutched            				30
clutches            				40
clutching           				40
coach               				70
coached             				10
coaching            				60
coal                				550
coals               				80
coast               				20
coat                				190
coated              				50
coating             				20
coats               				20
coax                				30
coaxes              				10
coaxing             				30
cobblestones        				10
cock                				20
cocky               				10
cocoon              				10
cocooned            				10
code                				30
coexist             				10
coffee              				60
coffeepot           				10
coffin              				10
coil                				150
coils               				30
coin                				40
coincidence         				10
coincidental        				20
coins               				30
cold                				530
coldness            				10
collaborating       				10
collapse            				80
collapsed           				30
collapses           				40
collapsing          				30
collar              				80
collect             				160
collected           				40
collecting          				40
collection          				40
collective          				10
collects            				20
collide             				10
collides            				10
color               				230
colored             				130
colorful            				10
colors              				100
colossal            				10
column              				10
columns             				10
coma                				10
comb                				10
combat              				140
combative           				10
combed              				10
combination         				50
combine             				10
combined            				30
combing             				30
come                				1660
comeback            				10
comes               				940
comfort             				70
comfortable         				60
comfortably         				10
comforted           				20
comforter           				10
comforting          				80
comforts            				20
comfy               				10
comic               				10
comical             				10
comically           				10
coming              				670
command             				50
commander           				10
commanding          				30
commands            				30
comment             				150
commentators        				20
comments            				140
commit              				30
commitment          				10
committed           				30
committee           				30
committing          				10
common              				80
commotion           				30
communicate         				50
communication       				30
communicator        				10
communicuff         				40
communities         				10
community           				80
companion           				10
companions          				70
companionship       				10
company             				110
compare             				10
compared            				60
comparing           				40
comparison          				90
compartment         				120
compartments        				20
compass             				10
compassion          				20
compensate          				30
compensation        				20
compete             				20
competing           				30
competition         				130
competitor          				10
competitors         				90
complain            				10
complains           				10
complaint           				30
complaints          				20
complementary       				10
complete            				150
completed           				20
completely          				410
completes           				10
complex             				20
complicated         				90
complicity          				10
compliment          				60
complimentary       				10
complimenting       				10
compliments         				10
comply              				10
component           				10
compose             				20
composed            				30
composes            				10
composure           				10
compound            				10
compromise          				10
compulsive          				10
computerized        				10
computers           				10
comrades            				10
conceal             				140
concealed           				100
concealing          				60
concealment         				50
conceals            				10
conceivably         				10
conceived           				10
concentrate         				40
concentrates        				10
concentration       				20
concept             				10
concern             				110
concerned           				60
concerns            				50
concession          				20
conciliatory        				10
concise             				10
conclude            				20
conclusion          				30
concocted           				20
concoction          				30
concoctions         				30
concrete            				20
concussion          				40
condemn             				20
condemned           				10
condemning          				20
condemns            				10
condense            				10
condenses           				10
condition           				130
conditioners        				20
conditions          				60
condone             				10
conduct             				10
conducted           				20
conductive          				10
cone                				10
confess             				40
confessed           				20
confession          				30
confidant           				10
confidante          				10
confide             				10
confidence          				60
confident           				20
confidentially      				10
confiding           				10
configuration       				10
confine             				10
confined            				30
confinement         				20
confines            				20
confining           				20
confirm             				70
confirmation        				40
confirmed           				50
confirming          				20
confirms            				80
confiscated         				10
conflicted          				10
conflicting         				20
confront            				10
confrontation       				10
confrontational     				10
confronted          				10
confronting         				10
confuse             				20
confused            				130
confusing           				20
confusion           				80
congealed           				10
congenial           				10
congratulate        				70
congratulating      				20
congratulation      				10
congratulations     				20
conjure             				20
connect             				30
connected           				30
connection          				40
connects            				10
conquer             				10
conscious           				70
consciousness       				90
consecutive         				10
consensus           				10
consent             				10
consented           				10
consequence         				10
consequently        				10
consider            				100
considerably        				30
consideration       				10
considerations      				10
considered          				40
considering         				80
considers           				30
consistency         				10
consistently        				20
consisting          				10
consists            				10
consolation         				10
console             				10
consoles            				10
consolidate         				10
conspicuously       				10
conspiracy          				20
conspiratorial      				10
conspiratorially    				10
constant            				30
constantly          				40
constants           				10
consternation       				10
constructed         				20
construction        				10
constructions       				10
construed           				10
consult             				20
consults            				10
consume             				10
consumed            				40
consumes            				20
consuming           				10
consumption         				10
contact             				170
contacted           				10
contagion           				10
contagious          				10
contain             				30
container           				30
containers          				50
containing          				40
contains            				40
contemplating       				10
contempt            				10
contend             				30
contender           				10
content             				30
contents            				50
contest             				10
contestant          				20
contestants         				40
continual           				10
continue            				300
continued           				30
continues           				120
continuing          				30
continuous          				10
continuously        				10
contortions         				10
contracted          				10
contracting         				10
contracts           				20
contraption         				30
contrary            				20
contrast            				10
contributed         				10
contributes         				10
contributing        				10
contrite            				10
contrived           				10
control             				290
controlled          				20
controlling         				10
controls            				10
controversial       				20
convalescence       				10
converge            				10
converging          				10
conversation        				240
conversational      				10
conversations       				40
convert             				20
conviction          				10
convince            				110
convinced           				120
convincing          				70
convincingly        				30
convulse            				10
convulses           				10
convulsing          				10
cook                				100
cooked              				90
cookie              				60
cookies             				90
cooking             				20
cooks               				30
cool                				190
cooled              				20
cooler              				20
cooling             				30
coolly              				20
cools               				10
cooperate           				20
cooperating         				10
coordination        				20
copious             				10
copse               				20
copy                				20
copying             				10
cord                				20
coring              				10
corkscrew           				40
corn                				30
corner              				100
corners             				20
corpse              				20
corral              				20
correct             				10
corrected           				10
corrects            				20
corresponding       				10
corridor            				60
corridors           				10
cosmetically        				10
cost                				90
costly              				20
costs               				30
costume             				180
costumes            				150
cot                 				10
cots                				10
cotton              				20
couch               				100
couches             				30
cougars             				10
cough               				60
coughed             				10
coughing            				20
coughs              				50
could               				3790
could've            				80
couldn't            				400
couldnt             				250
couldve             				10
council             				10
count               				240
counted             				50
counter             				80
counterattack       				10
countered           				10
counterpart         				10
counters            				10
countertop          				10
counting            				40
country             				180
counts              				40
couple              				450
couples             				30
courage             				80
course              				1120
courses             				30
coursing            				10
cousin              				120
cousins             				60
cover               				330
coverage            				20
covered             				210
covering            				60
covers              				170
covert              				10
cow                 				10
coward              				30
cowardly            				10
cowed               				10
cower               				10
cows                				30
cozy                				10
crabmeat            				10
crack               				120
crackdown           				20
cracked             				50
cracker             				110
crackers            				50
cracking            				20
crackle             				10
crackles            				10
cracks              				70
cradled             				10
craft               				30
crafted             				20
cram                				10
cramped             				10
cramps              				10
crane               				10
cranked             				10
cranky              				10
crash               				30
crashes             				70
crashing            				20
crate               				60
crates              				30
crave               				10
craving             				10
crawl               				160
crawled             				20
crawling            				50
crawls              				20
crazed              				20
crazy               				160
creaky              				10
cream               				50
creams              				10
creamy              				60
crease              				10
creased             				20
creases             				20
create              				30
created             				40
creating            				60
creation            				10
creative            				20
creators            				10
creature            				90
creature's          				10
creatures           				100
credit              				110
credited            				10
creep               				30
creepers            				20
creeping            				30
creeps              				30
creepy              				10
crept               				10
crescent            				20
crest               				10
crested             				10
crests              				10
crevice             				20
crew                				190
crewmates           				10
crews               				50
cried               				50
cries               				80
crime               				60
crimes              				30
criminal            				30
criminals           				30
crimson             				10
crippled            				20
crisscross          				10
critically          				10
criticize           				20
croaking            				10
croaks              				20
crook               				40
crooked             				10
cropped             				20
crops               				20
cross               				240
crossed             				180
crosses             				120
crouch              				40
crouched            				20
crouches            				30
crowd               				770
crowd's             				10
crowded             				10
crowds              				120
crown               				120
crowned             				60
crucial             				50
cruel               				60
cruelties           				10
cruelty             				50
crumble             				10
crumbling           				20
crumbs              				10
crumple             				10
crumpled            				30
crumpling           				10
crunch              				10
crunching           				10
crunchy             				20
crush               				40
crushed             				30
crushing            				40
crust               				30
crusts              				10
crutch              				30
cry                 				290
crying              				90
crystal             				50
crystalline         				10
cube                				40
cubes               				30
cue                 				40
cuff                				10
culminating         				10
cumulative          				10
cunning             				10
cup                 				120
cupboard            				10
cupped              				10
cupping             				10
cups                				50
cure                				30
curfew              				10
curiosity           				30
curious             				40
curiously           				20
curl                				80
curled              				90
curls               				80
curly               				30
current             				280
currently           				40
currents            				10
curse               				10
cursing             				10
curt                				20
curtain             				70
curtains            				30
curve               				70
curved              				80
curves              				20
curvy               				10
cushion             				40
cushioned           				10
custard             				20
custody             				30
customary           				20
customer            				20
customers           				20
customs             				10
cut                 				630
cuts                				110
cutting             				90
cycle               				10
cylinder            				90
cylinders           				10
dab                 				10
dabbing             				20
dabbles             				10
dabs                				20
dad                 				10
daggers             				10
daily               				90
dainty              				10
dairy               				10
daisies             				20
dam                 				10
damage              				210
damaged             				160
damp                				180
dampened            				10
dampening           				10
dance               				110
dances              				10
dancing             				20
dandelion           				60
dandelions          				10
danger              				130
dangerous           				240
dangerously         				40
dangers             				50
dangle              				10
dangles             				30
dangling            				50
dappled             				20
dare                				150
dared               				10
daring              				20
dark                				520
darkened            				20
darkens             				20
darker              				10
darkly              				10
darkness            				160
darling             				10
dart                				70
darts               				40
dash                				20
date                				20
daughter            				60
dawn                				230
dawning             				10
dawns               				10
day                 				1770
day's               				30
daydreaming         				10
daydreams           				10
daylight            				50
daylight's          				10
daylong             				10
days                				730
daytime             				20
daze                				10
dazed               				10
dazzled             				10
dazzling            				60
deactivate          				10
dead                				1330
deadens             				10
deadliest           				20
deadliness          				10
deadly              				200
deads               				10
deaf                				30
deafened            				10
deafening           				20
deafness            				10
deal                				320
dealing             				20
deals               				30
dealt               				10
dear                				30
dearly              				10
death               				980
death's             				10
deathblow           				20
deaths              				130
debate              				30
debilitating        				10
debris              				20
debt                				50
debts               				20
debut               				30
decadent            				10
decades             				20
deceived            				10
deceleration        				10
decency             				20
decent              				190
decently            				10
deception           				10
deceptions          				10
deceptively         				10
decide              				470
decided             				170
decidedly           				10
decides             				50
deciding            				60
decimated           				10
decipher            				10
decision            				110
decisions           				10
decked              				10
decks               				10
declaration         				20
declared            				20
declining           				10
decomposing         				10
decomposition       				10
decorate            				20
decorated           				10
decorating          				20
decoration          				10
decorative          				40
decrease            				10
decreasing          				10
decrees             				10
decrepit            				10
deducted            				10
deed                				10
deemed              				20
deep                				530
deepening           				10
deeper              				80
deeply              				30
deer                				90
defeat              				60
defeated            				20
defection           				10
defend              				100
defending           				30
defense             				150
defenseless         				40
defenses            				20
defensive           				30
defensively         				30
defer               				10
defiance            				80
defiantly           				10
defied              				10
defiled             				10
define              				20
defined             				10
definitely          				80
definitions         				10
deflate             				10
deflated            				10
deflating           				10
deflect             				50
deflecting          				10
deflects            				10
deft                				10
deftly              				20
defuse              				20
defusing            				10
defy                				30
defying             				50
degree              				40
degrees             				40
dehydrate           				10
dehydrated          				10
dehydrating         				10
dehydration         				50
delay               				40
delaying            				20
delectable          				10
deliberate          				10
deliberately        				10
delicacies          				50
delicate            				60
delicious           				70
delighted           				20
delightful          				10
delirious           				10
deliver             				40
delivered           				50
delivers            				20
delivery            				10
deluded             				10
deluding            				20
deluge              				10
deluged             				10
delusions           				20
demand              				80
demanded            				10
demanding           				50
demands             				70
demean              				10
demeaning           				20
demeanor            				30
demolished          				10
demolishing         				10
demonstrated        				20
demonstrations      				10
demotion            				10
den                 				30
denial              				10
denied              				20
dense               				50
density             				20
dent                				40
deny                				10
department          				20
departments         				10
depend              				10
dependable          				20
depended            				10
dependent           				10
depending           				10
depends             				10
depicting           				10
depiction           				10
deplete             				10
depleted            				10
deposit             				10
deposited           				20
deprecating         				10
depressed           				10
depressing          				10
depression          				10
deprivation         				10
deprived            				10
depth               				10
depths              				20
derailed            				10
deranged            				20
descend             				50
descending          				50
descends            				30
descent             				30
describe            				40
describes           				10
describing          				30
descriptions        				10
desert              				20
deserted            				50
deserve             				30
deserved            				10
deserves            				10
deserving           				10
design              				140
designated          				40
designates          				10
designating         				10
designed            				160
designing           				20
designs             				60
desirable           				60
desire              				30
desired             				10
desk                				60
despair             				20
despairing          				10
desperate           				150
desperately         				170
desperation         				30
despicable          				60
despise             				30
despises            				10
despite             				110
despondency         				10
dessert             				20
destination         				30
destinations        				10
destined            				10
destroy             				90
destroyed           				90
destroying          				20
destroys            				20
destruction         				80
destructive         				10
detach              				10
detached            				10
detail              				90
detailed            				20
details             				50
detained            				10
detect              				10
detection           				10
detectors           				10
deteriorate         				10
deteriorated        				30
determination       				30
determine           				10
determined          				200
determining         				10
deterrent           				10
detest              				10
detonate            				20
detonates           				10
detoxify            				10
detract             				10
devastated          				10
devastating         				10
develop             				20
developed           				30
development         				40
deviance            				10
device              				70
devices             				20
devise              				10
devised             				20
devising            				10
devoid              				10
devote              				20
devoted             				10
devoting            				10
devotion            				20
devour              				10
devours             				10
dew                 				20
dewdrop             				10
dexterity           				10
diagonal            				30
dial                				10
dials               				10
diameter            				10
diamonds            				40
dictate             				20
dictated            				10
dictates            				10
did                 				2080
didn't              				1070
didnt               				610
die                 				840
died                				340
dies                				120
diet                				20
differed            				10
difference          				80
different           				520
differently         				10
difficult           				120
difficulties        				10
difficulty          				10
dig                 				180
digest              				10
digesting           				10
digestion           				10
digging             				60
dignity             				20
digs                				40
dilate              				10
dilated             				10
dill                				10
dim                 				70
diminish            				30
diminishes          				20
dimming             				20
din                 				30
dine                				10
dining              				290
dinner              				450
dinners             				20
dip                 				40
dipped              				30
dipping             				40
dips                				20
direct              				140
directed            				60
directing           				40
direction           				440
directions          				30
directive           				20
directly            				210
directness          				10
director            				10
directs             				30
dirt                				150
dirty               				30
disable             				10
disabled            				20
disadvantage        				50
disappear           				90
disappeared         				30
disappearing        				80
disappears          				150
disappiared         				10
disappointed        				50
disappointing       				10
disappointingly     				10
disappointment      				10
disapproval         				30
disapproving        				10
disarmed            				10
disarms             				10
disaster            				40
disasters           				10
disastrous          				20
disbelief           				100
discarded           				10
discarding          				10
discipline          				10
disclosed           				10
discomfort          				10
disconcerted        				10
discontent          				20
discouraging        				10
discover            				60
discovered          				60
discreet            				20
discrepancies       				10
discuss             				80
discussed           				10
discussing          				30
discussion          				70
disdainful          				10
disease             				20
disembarks          				10
disengage           				10
disengages          				10
disengaging         				10
disfigured          				20
disgrace            				20
disgruntled         				10
disguised           				30
disguises           				10
disgust             				60
disgusting          				30
dish                				70
dishes              				90
dishing             				10
disintegrates       				20
disintegrating      				20
disjointed          				10
disk                				30
disks               				10
dislike             				20
disliked            				20
dislikes            				10
disliking           				10
dislodges           				10
dismiss             				40
dismissal           				20
dismissed           				50
dismisses           				10
dismissing          				10
dismissive          				10
dismissively        				10
disobeyed           				10
disorder            				10
disorient           				10
disoriented         				30
disorients          				10
dispatched          				10
dispensed           				10
disperse            				10
dispersed           				10
display             				20
displays            				10
disposable          				10
disposal            				20
dispose             				10
disproportionate    				10
dispute             				20
disregard           				10
disregarded         				10
disrepair           				10
disrespectful       				10
disrupt             				20
disrupted           				10
disruption          				20
dissatisfied        				10
dissect             				10
dissecting          				10
dissection          				10
dissent             				50
dissipate           				10
dissolves           				10
distance            				410
distances           				10
distant             				90
distaste            				10
distinct            				40
distinctive         				40
distinctly          				30
distinguished       				20
distorted           				30
distorting          				10
distract            				30
distracted          				60
distractedly        				10
distracting         				30
distraction         				20
distractions        				20
distracts           				30
distraught          				10
distress            				40
distressed          				30
district            				1140
district's          				30
districts           				760
districts'          				20
distrusts           				10
disturb             				40
disturbance         				10
disturbed           				10
disturbing          				20
disturbingly        				10
disturbs            				10
disuse              				10
ditch               				20
dive                				90
diversity           				10
dives               				20
divide              				90
divided             				30
divides             				10
dividing            				20
diving              				20
divulge             				10
dizziness           				20
dizzy               				80
dizzying            				10
do                  				5890
dock                				10
doctor              				60
doctors             				80
documenting         				10
dodge               				10
dodging             				20
doe                 				10
does                				990
doesn't             				970
doesnt              				550
dog                 				100
dogged              				20
doggedly            				20
dogging             				10
dogs                				40
doing               				660
doll                				10
domain              				10
dome                				80
dominance           				10
dominated           				10
domineering         				10
don                 				10
don't               				3360
don'try             				10
donation            				10
done                				780
dont                				2350
doomed              				20
door                				1170
door's              				10
doorbell            				10
doorknob            				10
doors               				340
doorstep            				10
doorway             				130
doorways            				10
dose                				30
dotted              				60
double              				80
doubled             				10
doubling            				10
doubly              				10
doubt               				330
doubted             				40
doubtful            				20
doubtfully          				20
doubts              				30
dough               				20
douses              				10
dovetails           				10
down                				4860
downcast            				20
downhill            				40
downpour            				50
downs               				10
downstairs          				50
downstream          				50
downtime            				10
downward            				30
doze                				50
dozed               				40
dozen               				190
drab                				10
drag                				250
dragged             				90
dragger             				10
dragging            				100
drags               				30
drain               				70
drained             				30
draining            				10
drains              				20
drama               				10
dramatic            				40
dramatically        				10
drape               				10
draped              				10
drapes              				20
drastic             				20
draw                				220
drawbacks           				10
drawer              				20
drawers             				40
drawing             				150
drawings            				40
drawn               				150
draws               				70
dread               				50
dreaded             				10
dreadful            				50
dreading            				40
dream               				110
dreamed             				30
dreamily            				10
dreamland           				10
dreamless           				10
dreamlike           				10
dreams              				100
dreary              				10
dregs               				10
drench              				10
drenched            				10
dress               				760
dressed             				280
dresser             				30
dresses             				140
dressing            				30
drew                				20
dried               				240
dries               				30
drift               				100
drifted             				30
drifting            				20
drifts              				50
driftwood           				10
drill               				20
drilled             				20
drily               				10
drink               				320
drinkable           				10
drinking            				130
drinks              				30
drip                				10
dripping            				110
drippings           				10
drips               				50
drive               				60
driven              				50
drives              				70
driving             				20
drizzle             				10
drizzled            				10
drone               				10
droning             				10
drooling            				10
droop               				10
droops              				10
drop                				350
droplets            				40
dropped             				170
dropping            				90
droppings           				10
drops               				280
droughts            				10
drove               				10
drown               				60
drowned             				30
drowning            				20
drowns              				10
drowsiness          				30
drowsy              				10
drug                				30
drugged             				20
drugging            				10
drugs               				60
drumming            				20
drumstick           				10
drumsticks          				10
drunk               				180
drunkards           				10
drunken             				10
drunkenness         				10
drunks              				10
dry                 				330
drying              				30
dryness             				10
duck                				90
ducktail            				10
duct                				20
due                 				30
dug                 				30
dull                				70
dulling             				10
dullness            				10
dully               				10
dumbfounded         				10
dummies             				10
dummy               				60
dummy's             				10
dummys              				10
dump                				50
dumping             				10
dumps               				10
dungeons            				20
dunk                				10
dunking             				10
dunks               				30
duplicitous         				10
durable             				10
duration            				10
duress              				10
during              				480
dusk                				10
dust                				150
dusty               				20
duties              				40
duty                				30
dwell               				20
dwelling            				10
dwindling           				10
dye                 				10
dyed                				40
dyes                				50
dying               				320
dynamic             				20
each                				1350
eager               				70
eagerly             				50
eagerness           				40
ear                 				510
earlier             				170
early               				250
earmuffs            				40
earn                				20
earnest             				20
earnestly           				20
earpiece            				90
earring             				10
earrings            				10
ears                				200
earshot             				10
earth               				250
earth's             				10
earthquake          				20
ease                				110
eased               				10
eases               				20
easier              				110
easily              				340
east                				50
eastern             				10
easy                				350
eat                 				910
eaten               				100
eaters              				10
eating              				400
eats                				30
eccentric           				10
echo                				20
echoes              				10
ecstasy             				10
ecstatically        				10
edge                				410
edges               				70
edible              				110
edited              				20
editing             				30
editors             				10
educated            				10
eerie               				30
eerily              				20
effect              				220
effective           				10
effectively         				40
effects             				40
efficient           				10
efficiently         				10
effort              				270
effortless          				10
effortlessly        				20
efforts             				60
egg                 				40
eggs                				60
ego                 				10
eh                  				20
eight               				280
eighteen            				40
eighth              				10
eighty              				50
either              				640
elaborate           				40
elaborately         				10
elated              				10
elation             				30
elbow               				90
elbows              				50
elderly             				30
eldest              				10
elect               				10
election            				10
electric            				70
electrical          				60
electricity         				120
electrified         				30
electrify           				20
electrifying        				10
electrocuted        				30
electrocution       				10
electronic          				10
electronics         				10
elegant             				30
element             				20
elementary          				10
elevated            				20
elevator            				370
elevators           				70
eleven              				220
elicit              				10
elicited            				10
eligibility         				10
eligible            				20
eliminate           				10
eliminated          				20
eliminating         				30
elongating          				10
else                				970
elses               				20
elsewhere           				30
eludes              				10
elusive             				20
emaciated           				30
emanate             				10
emanates            				10
emanating           				20
embarrassed         				60
embarrasses         				10
embarrassment       				20
embedded            				30
ember               				10
embers              				10
embodiment          				20
emboldened          				10
embrace             				90
embraces            				30
embroidered         				20
embryos             				10
emerald             				10
emerge              				50
emergence           				10
emergency           				20
emerges             				20
emerging            				20
emotion             				40
emotional           				80
emotionally         				10
emotionless         				10
emotions            				110
emphatically        				10
empowered           				10
emptied             				40
empties             				30
emptiness           				20
empty               				460
encased             				20
encases             				10
encasing            				30
encircled           				10
encircles           				10
encloses            				20
enclosing           				20
encompasses         				10
encounter           				100
encountered         				40
encountering        				10
encounters          				20
encouraged          				10
encouragement       				10
encouraging         				10
encouragingly       				30
encroaching         				10
end                 				800
endanger            				10
endangered          				10
endearment          				10
endearments         				10
ended               				80
ending              				30
endless             				80
endlessly           				10
endlessness         				10
ends                				190
endure              				10
enemies             				120
enemy               				140
energized           				10
energy              				70
enfolding           				10
enforced            				10
enforcers           				10
engage              				20
engaged             				40
engagement          				60
engine              				10
engineered          				10
engraved            				10
engrossed           				10
engulf              				30
engulfed            				30
engulfing           				10
engulfs             				10
enhanced            				20
enhancements        				10
enigmatic           				10
enjoy               				50
enjoyable           				10
enjoyed             				20
enjoying            				30
enlarged            				10
enlist              				20
enormous            				130
enough              				1880
enraged             				20
ensemble            				10
ensnaring           				10
ensure              				20
ensuring            				10
entangle            				10
entangled           				20
enter               				140
entered             				70
entering            				10
enters              				60
entertain           				10
entertainers        				10
entertaining        				10
entertainment       				60
enthusiasm          				40
enthusiastically    				10
entire              				300
entirely            				280
entitled            				20
entourage           				10
entourages          				10
entrails            				30
entrance            				100
entrap              				10
entreaties          				10
entries             				30
entry               				10
entwined            				20
entwining           				20
enunciate           				10
envelope            				30
enveloped           				10
envelopes           				10
enveloping          				10
envied              				10
enviously           				10
envy                				10
epidemic            				40
episode             				20
equal               				50
equally             				50
equals              				30
equidistant         				20
equipment           				70
equipped            				20
eradicated          				10
eradicates          				10
erase               				50
erased              				30
erases              				10
erasing             				20
erratic             				10
error               				10
erupt               				10
erupted             				10
erupts              				20
escape              				400
escaped             				90
escapees            				10
escapes             				30
escaping            				50
escort              				70
escorted            				10
escorts             				20
especially          				200
essential           				50
essentially         				60
establish           				10
established         				10
estimate            				30
eternal             				10
etiquette           				10
evacuate            				10
evacuated           				10
evade               				40
evading             				10
evaporate           				20
evasion             				10
evasive             				20
evasively           				10
even                				4200
evening             				210
evening's           				10
evenings            				40
evenly              				20
event               				130
events              				110
eventually          				150
ever                				1080
evergreen           				20
everlasting         				10
every               				1210
everybody           				220
everyday            				10
everyone            				760
everyone's          				60
everyones           				10
everything          				730
everywhere          				50
evidence            				10
evident             				20
evil                				40
evils               				10
evoke               				40
evolve              				10
evolved             				10
exact               				60
exactly             				620
exaggerate          				10
exaggerated         				20
exaggerating        				10
examination         				30
examine             				200
examined            				10
examines            				50
examining           				70
example             				40
exasperated         				10
exasperation        				30
exceeded            				10
exceeds             				10
excel               				10
excellent           				140
excels              				10
except              				390
exceptional         				10
exceptions          				10
excess              				10
excessive           				30
exchange            				220
exchanged           				40
exchanges           				10
excited             				70
excitedly           				10
excitement          				130
exciting            				30
exclaim             				40
exclaims            				10
exclamation         				10
exclamations        				10
excluded            				10
exclusively         				30
excruciating        				40
excuse              				60
excused             				10
execute             				10
executed            				60
execution           				10
exercise            				20
exercises           				20
